reference,transaction_date,value_date,description,gross_amount,fee_amount,tax_amount,net_amount,currency,counterparty_name,counterparty_account,country,category,invoice_number,payment_method
TX-2026-0001,2026-07-01,2026-07-01,Management fee - Fund Alpha,1250.50,0.00,212.59,1463.09,EUR,ABC Capital S.A.,LU280019400644750000,LU,MANAGEMENT_FEE,INV-2026-071,BANK_TRANSFER
TX-2026-0002,2026-07-02,2026-07-03,Bank custody charges,-145.00,0.00,0.00,-145.00,EUR,Lux Custody Bank,LU120010001234567891,LU,BANK_FEE,,DIRECT_DEBIT
TX-2026-0003,2026-07-03,2026-07-03,Legal advisory services,2500.00,15.00,425.00,2910.00,USD,Global Legal Advisors Ltd,GB82WEST12345698765432,GB,PROFESSIONAL_SERVICES,GLA-8841,BANK_TRANSFER
TX-2026-0004,2026-07-04,2026-07-05,Subscription proceeds - Investor 14,100000.00,0.00,0.00,100000.00,CHF,Helvetia Holdings AG,CH9300762011623852957,CH,SUBSCRIPTION,,BANK_TRANSFER
TX-2026-0005,2026-07-05,2026-07-05,Office software subscription,399.99,0.00,67.99,467.98,EUR,Cloud Systems Europe,DE89370400440532013000,DE,SOFTWARE,CSE-2026-991,CARD
TX-2026-0006,2026-07-06,2026-07-06,Audit services - Q2,4800.00,0.00,816.00,5616.00,EUR,Audit Partners Luxembourg,LU740011112222333344,LU,AUDIT,APL-Q2-2026,BANK_TRANSFER
TX-2026-0007,2026-07-07,2026-07-07,Interest payment note 2024-A,-3250.75,12.50,0.00,-3263.25,EUR,Paying Agent Europe,LU490019000000111122,LU,INTEREST_PAYMENT,,BANK_TRANSFER
TX-2026-0008,2026-07-08,2026-07-08,Data room annual licence,1800.00,0.00,306.00,2106.00,GBP,Secure Data Rooms PLC,GB33BUKB20201555555555,GB,SOFTWARE,SDR-77531,BANK_TRANSFER
TX-2026-0009,2026-07-09,2026-07-10,Reimbursement - travel expenses,732.40,0.00,0.00,732.40,EUR,Marie Dupont,FR7630006000011234567890189,FR,EXPENSE_REIMBURSEMENT,,BANK_TRANSFER
TX-2026-0010,2026-07-10,2026-07-10,Registrar fee,975.00,0.00,165.75,1140.75,EUR,Lux Registry Services,LU210030040050060070,LU,REGULATORY_FEE,LRS-44820,BANK_TRANSFER
TX-2026-0011,2026-07-11,2026-07-11,Redemption payment - Investor 7,-42000.00,0.00,0.00,-42000.00,USD,Northbridge Investments LLC,US64SVBKUS6S3300958879,US,REDEMPTION,,BANK_TRANSFER
TX-2026-0012,2026-07-12,2026-07-12,Corporate services retainer,3200.00,0.00,544.00,3744.00,EUR,Corporate Services SA,LU860095000000123456,LU,CORPORATE_SERVICES,CSS-2026-07,BANK_TRANSFER
TX-2026-0013,2026-07-13,2026-07-13,FX conversion adjustment,-88.42,0.00,0.00,-88.42,CHF,Alpine Bank AG,CH5604835012345678009,CH,FX_ADJUSTMENT,,INTERNAL
TX-2026-0014,2026-07-14,2026-07-15,Insurance premium,2100.00,0.00,0.00,2100.00,EUR,Euro Risk Insurance,BE68539007547034,BE,INSURANCE,ERI-2026-440,DIRECT_DEBIT
TX-2026-0015,2026-07-15,2026-07-15,Administrator fee - July,5500.00,0.00,935.00,6435.00,EUR,Fund Administration Partners,LU390019123456789000,LU,ADMINISTRATION_FEE,FAP-0726,BANK_TRANSFER
TX-2026-0016,2026-13-16,2026-07-16,Invalid transaction date,600.00,0.00,102.00,702.00,EUR,Example Services SARL,LU100010203040506070,LU,PROFESSIONAL_SERVICES,ES-1607,BANK_TRANSFER
TX-2026-0017,2026-07-17,bad-date,Invalid value date,700.00,0.00,119.00,819.00,EUR,Example Services SARL,LU100010203040506070,LU,PROFESSIONAL_SERVICES,ES-1707,BANK_TRANSFER
TX-2026-0018,2026-07-18,2026-07-18,Unsupported currency,1500.00,0.00,0.00,1500.00,JPY,Tokyo Consulting KK,JP1234567890,JP,PROFESSIONAL_SERVICES,TC-881,BANK_TRANSFER
TX-2026-0019,2026-07-19,2026-07-19,Missing counterparty,900.00,0.00,153.00,1053.00,EUR,,LU000000000000000000,LU,SOFTWARE,MISS-CP,CARD
TX-2026-0020,2026-07-20,2026-07-20,Zero amount,0.00,0.00,0.00,0.00,EUR,Zero Amount Ltd,GB90TEST12345678901234,GB,OTHER,,BANK_TRANSFER
TX-2026-0003,2026-07-21,2026-07-21,Duplicate reference,300.00,0.00,51.00,351.00,EUR,Duplicate Company SA,LU110011001100110011,LU,OTHER,DUP-001,BANK_TRANSFER
,2026-07-22,2026-07-22,Missing reference,225.00,0.00,38.25,263.25,EUR,Reference Missing Ltd,GB12MISS00000000000000,GB,OTHER,RM-22,CARD
TX-2026-0023,2026-07-23,2026-07-23,Net amount inconsistency,1000.00,10.00,170.00,1000.00,EUR,Calculation Error SARL,FR1420041010050500013M02606,FR,PROFESSIONAL_SERVICES,CE-23,BANK_TRANSFER
TX-2026-0024,2026-07-24,2026-07-24,Missing gross amount,,0.00,85.00,585.00,EUR,Missing Amount SA,LU220022002200220022,LU,OTHER,MA-24,BANK_TRANSFER
TX-2026-0025,2026-07-25,2026-07-25,Invalid category,450.00,0.00,76.50,526.50,EUR,Category Test Ltd,GB56CATE00000000000000,GB,UNKNOWN_CATEGORY,CAT-25,CARD
TX-2026-0026,2026-07-26,2026-07-26,Missing country,300.00,0.00,51.00,351.00,EUR,Country Missing SA,LU260026002600260026,,OTHER,CM-26,BANK_TRANSFER
TX-2026-0027,2026-07-27,2026-07-27,Negative fee,800.00,-25.00,136.00,911.00,EUR,Negative Fee Ltd,GB27NEGF00000000000000,GB,PROFESSIONAL_SERVICES,NF-27,BANK_TRANSFER
TX-2026-0028,2026-07-28,2026-07-28,Malformed amount,"1,200.00",0.00,204.00,1404.00,USD,Comma Amount LLC,US28COMM00000000000000,US,OTHER,CA-28,BANK_TRANSFER
TX-2026-0029,2026-07-29,2026-07-29,Missing payment method,510.00,0.00,86.70,596.70,EUR,Payment Method SA,LU290029002900290029,LU,SOFTWARE,PM-29,
TX-2026-0030,2026-07-30,2026-07-30,Valid final transaction,760.00,5.00,129.20,884.20,CHF,Final Services AG,CH3000300030003000300,CH,PROFESSIONAL_SERVICES,FS-30,BANK_TRANSFER
